ElapsedTime,Epoch,BestDNA,RewardOfBestDNA,AvgRewardCurEpoch
0.02,1,,-1,-353.006
0.04,2,616665740406377421165652223465002464604254041255250124342513343012530325174027433651664177707376514656201023417314406577347455112712106065152145144507754674723714321037225327776753722344100607114566500230742435116564442036105711122605157001176,-42.32,-245.9099
0.14,3,171624021527751757275434213644700704723341442306765461677443473734625032206534557513515372175264363057734025654477232416334451125627470227204216261511124173441417476515752147665462142325007737376623567620553612724213352743246224402762564123652,-36.43,-192.9193
0.24,4,705635217536143747052265123575557446537360145572171035501163367751242606264327403777023115772242552044164362477330207056530002365121115265346370564454511054540046156447446220135564057374521611541527734503742606556775671371471237071271730757470,-19.88,-140.8109
0.34,5,602301753431404246260611013070070574015764253654225224270007336011514255006064654223774115167044046306466722767754316577534041670274763244000535303204102341150431636572751130100421624402043217745763204166715261416745406010065375123511551231224,-10.6,-103.9168
0.44,6,107644065140161106361423635433241172300331565223156356045052353276663513555623614526112426757503253160537615031072554630060002365121115265346370564454511054540046156447446220135564057374521611541527734503742606556775671371471237071271730757470,-17.34,-79.30238
0.54,7,705635217536143747052265123575557446537360145572171035501163367751242606264327403777023115772242552044164362477330207056537552412246141414036773424755263420744174556710162673463554335056015066631415616475476734377331633455164300656270731761706,-17.63,-61.16177
0.64,8,522400104474627540203261201727046413477541472304140021710714442336753663205373714427132546027253772735600333632410743721707552412246141414036773424755263420744174556710162673463554335056015066631415616475476734377331633455164300656270731761706,-16.51,-54.49669
0.7400001,9,705635217536143747052265123575557446537360145572171035501163367751242606264327403777023115772242552044164362477330207056530002365121115265346370564454511054540046156447446220135564057374521611541527734503742606556775671371471237071271730757470,-13.21,-48.69301
0.8400001,10,333511271152437071764115074610074542247146275255170722044515565061040776650046122203724255147311476711456352750531724475310002365121115265346370564454511054540046156447446220135564057374521611541527734503742606556775671371471237071271730757470,-11.78,-44.39214
0.9400001,11,460365127423306774064052476654153220754357117341420117432767724077360667072563373535712763737477106105754326737626723161330002365121115265346370564454511054540046156447446220135564057374521611541527734503742606556775671371471237071271730757470,-10.58,-49.98492
1.04,12,421523420241404131125372473236367575223616774403520063377650725376403041225242057503540216702243777147112340702757714653500002365121115265346370564454511054540046156447446220135564057374521611541527734503742606556775671371471237071271730757470,-8.73,-46.493
1.14,13,421523420241404131125372473236367575223616774403520063377650725376403041225242057503540216702243777147112340702757714653500002365121115265346370564454511054540046156447446220135564057374521611541527734503742606556775671371471237071271730757470,-12.2,-43.26961
