ElapsedTime,Epoch,BestDNA,RewardOfBestDNA,CansPickedUpByBest,AvgRewardCurEpoch
0.02,1,-1,-1,0,-1
0.04,2,454064250145540260111254601244166333333355352121322414634402102246253605244531305123621403555231223115632453221226204640645036214421522141211564102220012311500444416323445602032403246514444221302611443050600136426306363050406022226535564643444,0,0,-405.6219
0.14,3,161220135560310334014634400214530210341422603245145345232305034121265400141663115366620411200461116554614604314232453434335021423253150556051424354245226433005604563626450461401463162352263521345434641241404133625125510311442405631215604006324,0,0,-156.8022
0.24,4,140641061225306102141554163452163455566203410211350141310536254130166501306020534624241354145634235305625443330434365364622413616261052204300321526513013236051652115541132543066554416402664443324215010423355312616201103254516402604034531500314,0,0,-106.8874
0.34,5,631121606204113100452644522205514616451146001523303162054203515310030236661226361531014525222235541352146655344613141213324543613115064321403042023066402102061130425313455514356454044011324415460451436335145623452333446130416513264650066344544,2.5,0,-79.61576
0.44,6,404123631140353364210502223005530423420005441031236056162120111120545633450104203054201053330522242116536412154323104302616341165442623623521155442144636546240546343266430154051405240412664660260254326462262010355424114505334134063216040553334,0.1,0,-68.54186
0.54,7,032210246315606155240436325630511404324033601635252543300153406265351345545616143455353230243241142361625153356054345415506500666301616630550232156151102662304155160220251120653454162113255265266126450065622155635526030141254315543242664242543,0.05,0,-74.72366
0.64,8,032210246315606155240436325630511404324033601635252543300153406265351345545616143455353230243241142361625153356054345415504543613115064321403042023066402102061130425313455514356454044011324415460451436335145623452333446130416513264650066344544,4.1,1,-27.01274
0.7400001,9,032210246315606155240436325630511404324033601635252543300153406265351345545616143455353230243241142361625153356054345415504543613115064321403042023066402102061130425313455514356454044011324415460451436335145623452333446130416513264650066344544,4.9,0,-241.908
0.8400001,10,032210246315606155240436325630511404324033601635252543300153406265351345545616143455353230243241142361625153356054345415504543613115064321403042023066402102061130425313455514356454044011324415460451436335145623452333446130416513264650066344544,4.35,1,-30.05605
0.9400001,11,133536452506003340513400303115056641030045212004524040012131236666211320241644232341231113513412214066511300632000510530014543613115064321403042023066402102061130425313455514356454044011324415460451436335145623452333446130416513264650066344544,3.13,1,-81.89598
1.04,12,133536452506003340513400303115056641030045212004524040012131236666211320241644232341231113513412214066511300632000510530014543613115064321403042023066402102061130425313455514356454044011324415460451436335145623452333446130416513264650066344544,4.6,1,-47.9487
1.14,13,032210246315606155240436325630511404324033601635252543300153406265351345545616143455353230243241142361625153356054345415504543613115064321403042023066402102061130425313455514356454044011324415460451436335145623452333446130416513264650066344544,0.25,0,-94.83437
1.24,14,133536452506003340513400303115056641030045212004524040012131236666211320241644232341231113513412214066511300632000510530014543613115064321403042023066402102061130425313455514356454044011324415460451436335145623452333446130416513264650066344544,0.2,0,-36.71811
